"trial"	"time"	"selection"	"outcome"	"game"	"points.cum"	"option.order"	"workerid"	"goal"	"condition"
1	170.281	1	4	6	4	"2;1;3"	"id_070"	0	1
2	0.51	2	5	6	9	"2;1;3"	"id_070"	0	1
3	0.483	3	2	6	11	"2;1;3"	"id_070"	0	1
4	0.537	2	4	6	15	"2;1;3"	"id_070"	0	1
5	0.623	1	5	6	20	"2;1;3"	"id_070"	0	1
6	0.506	1	6	6	26	"2;1;3"	"id_070"	0	1
7	0.518	1	-2	6	24	"2;1;3"	"id_070"	0	1
8	0.439	1	4	6	28	"2;1;3"	"id_070"	0	1
9	0.533	2	4	6	32	"2;1;3"	"id_070"	0	1
10	0.516	3	16	6	48	"2;1;3"	"id_070"	0	1
11	0.501	2	2	6	50	"2;1;3"	"id_070"	0	1
12	0.693	3	-4	6	46	"2;1;3"	"id_070"	0	1
13	0.508	3	5	6	51	"2;1;3"	"id_070"	0	1
14	0.534	3	8	6	59	"2;1;3"	"id_070"	0	1
15	0.465	3	4	6	63	"2;1;3"	"id_070"	0	1
16	0.563	3	9	6	72	"2;1;3"	"id_070"	0	1
17	0.324	3	-2	6	70	"2;1;3"	"id_070"	0	1
18	0.659	1	3	6	73	"2;1;3"	"id_070"	0	1
19	0.517	2	3	6	76	"2;1;3"	"id_070"	0	1
20	0.558	1	4	6	80	"2;1;3"	"id_070"	0	1
21	0.515	2	-1	6	79	"2;1;3"	"id_070"	0	1
22	0.485	1	4	6	83	"2;1;3"	"id_070"	0	1
23	0.486	1	2	6	85	"2;1;3"	"id_070"	0	1
24	0.643	1	5	6	90	"2;1;3"	"id_070"	0	1
25	0.423	1	2	6	92	"2;1;3"	"id_070"	0	1
26	0.519	1	0	6	92	"2;1;3"	"id_070"	0	1
27	0.485	1	0	6	92	"2;1;3"	"id_070"	0	1
28	0.793	1	-2	6	90	"2;1;3"	"id_070"	0	1
29	0.709	3	3	6	93	"2;1;3"	"id_070"	0	1
30	0.54	3	8	6	101	"2;1;3"	"id_070"	0	1
31	0.387	3	1	6	102	"2;1;3"	"id_070"	0	1
32	0.52	3	13	6	115	"2;1;3"	"id_070"	0	1
33	0.459	3	3	6	118	"2;1;3"	"id_070"	0	1
34	0.479	3	-1	6	117	"2;1;3"	"id_070"	0	1
35	0.454	3	-6	6	111	"2;1;3"	"id_070"	0	1
36	0.54	2	6	6	117	"2;1;3"	"id_070"	0	1
37	0.496	2	4	6	121	"2;1;3"	"id_070"	0	1
38	0.499	2	1	6	122	"2;1;3"	"id_070"	0	1
39	0.44	2	2	6	124	"2;1;3"	"id_070"	0	1
40	0.434	2	1	6	125	"2;1;3"	"id_070"	0	1
41	0.406	2	2	6	127	"2;1;3"	"id_070"	0	1
42	0.454	2	5	6	132	"2;1;3"	"id_070"	0	1
43	0.52	2	3	6	135	"2;1;3"	"id_070"	0	1
44	0.449	2	3	6	138	"2;1;3"	"id_070"	0	1
45	0.432	2	2	6	140	"2;1;3"	"id_070"	0	1
46	0.511	2	5	6	145	"2;1;3"	"id_070"	0	1
47	0.659	2	5	6	150	"2;1;3"	"id_070"	0	1
48	0.427	2	-1	6	149	"2;1;3"	"id_070"	0	1
49	0.561	2	0	6	149	"2;1;3"	"id_070"	0	1
50	0.616	3	-4	6	145	"2;1;3"	"id_070"	0	1
0	-195.609	0	0	7	0	"2;1;3"	"id_070"	0	1
